Utterance,Intent,Source,Notes
it was some time last week,LostDate,Synthetic,
Monday,LostDate,Synthetic,
last Thursday the 4th,LostDate,Synthetic,
day before yesterdy,LostDate,Synthetic,
two weeks ago,LostDate,Synthetic,
i donʻt know,LostDate,Synthetic,
"Either Saturday or Sunday, I don't know when",LostDate,Synthetic,
it was just the yesterday,LostDate,Synthetic,
last week i think,LostDate,Synthetic,
the day before yesterday,LostDate,Synthetic,
last week some time,LostDate,Synthetic,
forgot it and lost it at a store,LostStolen,Synthetic,
I left it in the card reader,LostStolen,Synthetic,
someone took it  ,LostStolen,Synthetic,
just canʻt seem to find it,LostStolen,Synthetic,
canʻt find it anywhere,LostStolen,Synthetic,
i had my wallet stolen and my card was in there,LostStolen,Synthetic,
i think someone stole it,LostStolen,Synthetic,
theft,LostStolen,Synthetic,
lost my card on vacation,LostStolen,Synthetic,
someone stole my wallet,LostStolen,Synthetic,
i was robbed,LostStolen,Synthetic,
I left it at the cash register of a store by accident,LostStolen,Synthetic,
I just know I don't have it,LostStolen,Synthetic,
they stole my wallet,LostStolen,Synthetic,
someone swiped it,LostStolen,Synthetic,
stolen from my car,LostStolen,Synthetic,
"just lost it, nobody stole it",LostStolen,Synthetic,
i think i lost it on vacation,LostStolen,Synthetic,
someone took it from me,LostStolen,Synthetic,
can not say for sure if lost or stolen,LostStolen,Synthetic,
they stole it,LostStolen,Synthetic,
stolen card,LostStolen,Synthetic,
lost it,LostStolen,Synthetic,
i lost it,LostStolen,Synthetic,
I think I just lost it,LostStolen,Synthetic,
it was a thief,LostStolen,Synthetic,
iʻve misplaced it somewhere,LostStolen,Synthetic,
wallet was robbed from me,LostStolen,Synthetic,
i donʻt where it went to,LostStolen,Synthetic,
the card was stolen,LostStolen,Synthetic,
i canʻt find it,LostStolen,Synthetic,
someone pilfered it,LostStolen,Synthetic,
there was a burglary,LostStolen,Synthetic,
i just misplaced it,LostStolen,Synthetic,
misplaced,LostStolen,Synthetic,
I accidentally tossed it ,LostStolen,Synthetic,
it was taken,LostStolen,Synthetic,
stolen,LostStolen,Synthetic,
"not stolen, just lost",LostStolen,Synthetic,
stole ,LostStolen,Synthetic,
I donʻt think that last one was me,ListChoice,Synthetic,
"yes, the last one I've seen before",ListChoice,Synthetic,
i recognize the top one,ListChoice,Synthetic,
I made all of them,ListChoice,Synthetic,
The second transaction is not mine,ListChoice,Synthetic,
only the first one is mine,ListChoice,Synthetic,
I never did the top transaction,ListChoice,Synthetic,
definitely didnʻt do the second from the bottom,ListChoice,Synthetic,
the forth one,ListChoice,Synthetic,
I didn't make that Macy's purchase,ListChoice,Synthetic,
I know the first one,ListChoice,Synthetic,
That second one,ListChoice,Synthetic,
I didnʻt make that last purchase,ListChoice,Synthetic,
I don't recognize that most recent transaction,ListChoice,Synthetic,
I didn't buy anything from REI or Macy's,ListChoice,Synthetic,
that last one was not me,ListChoice,Synthetic,
the third one was definitely me,ListChoice,Synthetic,
I didn't make purchases number one and two on that list,ListChoice,Synthetic,
The second from the bottom was not me,ListChoice,Synthetic,
never seen the 3rd transaction,ListChoice,Synthetic,
I know the second one is mine,ListChoice,Synthetic,
Those top three aren't mine,ListChoice,Synthetic,
the third was me,ListChoice,Synthetic,
i didnʻt do the second from the bottom,ListChoice,Synthetic,
i remember that one up top,ListChoice,Synthetic,
the second one from the bottom,ListChoice,Synthetic,
I do not recognize the bottom transaction,ListChoice,Synthetic,
i defintely remember the third one,ListChoice,Synthetic,
only the last one is familiar,ListChoice,Synthetic,
the bottom one,ListChoice,Synthetic,
i did do the last 2,ListChoice,Synthetic,
the second one is familiar,ListChoice,Synthetic,
one two and three,ListChoice,Synthetic,
i only did the top one,ListChoice,Synthetic,
I think the top one,ListChoice,Synthetic,
never shopped at the last store,ListChoice,Synthetic,
the first two are unfamiliar,ListChoice,Synthetic,
The first one,ListChoice,Synthetic,
the bottom one wasnʻt me,ListChoice,Synthetic,
the second one,ListChoice,Synthetic,
i recognize none of those,ListChoice,Synthetic,
i recognize them all,ListChoice,Synthetic,
I didn't make that first and third transaction,ListChoice,Synthetic,
how long has it been since i was paid,OutOfScope,,
look up transactions made yesterday,OutOfScope,,
I lost my umbrella,OutOfScope,,
where can i see my payments,OutOfScope,,
my check book was stolen,OutOfScope,,
i feel like iʻve lost my mind i definitely paid this,OutOfScope,,
are there any videos on how to repair my credit score,OutOfScope,,
someone stole my car,OutOfScope,,
which day is pay day,OutOfScope,,
can you locate my card for me,OutOfScope,,
why doesnʻt it show my credit card payments,OutOfScope,,
transaction details i made yesterday,OutOfScope,,
when was i paid most recently,OutOfScope,,
what can i use my credit card for,OutOfScope,,
iʻd like to transfer my checking funds to savings,OutOfScope,,
when do i get my paycheck,OutOfScope,,
will i receive a fee if i donʻt have enough in checking,OutOfScope,,
do you all offer insurance for stolen identities,OutOfScope,,
i canʻt find my account,OutOfScope,,
how long will it take me to pay off my card if I pay an extra $50 a month over the minimum,OutOfScope,,
what details can you give me about my accounts,OutOfScope,,
what can i do to get a better credit score,OutOfScope,,
my car was stolen,OutOfScope,,
they stole my identity,OutOfScope,,
i was just paid,OutOfScope,,
do i have to have a minimum balance on my checking account,OutOfScope,,
i can pay for things now,OutOfScope,,
what was the date of my last paycheck,OutOfScope,,
what will help my credit score,OutOfScope,,
find a good card to recommend,OutOfScope,,
what date is the next payday,OutOfScope,,
my checking account is really low right now,OutOfScope,,
when did i get my last check,OutOfScope,,
i already paid my credit card,OutOfScope,,
my acocunts need to be canceled,OutOfScope,,
when did i create this account,OutOfScope,,
my identity was stolen,OutOfScope,,
what can i use my credit card to pay for,OutOfScope,,
move my savings account balance to my checking,OutOfScope,,
i already paid this i feel like i lost my mind,OutOfScope,,
